step,accuracy_1,loss_1,accuracy_2,loss_2,accuracy_3,loss_3
10,0.289999992,2.70223999,0.649999976,1.037712693,0.319999993,414933.5625
20,0.360000014,2.456646204,0.860000014,0.488887697,0.819999993,9371.302734
30,0.360000014,1.918020487,0.819999993,0.486451,0.689999998,7800.253906
40,0.439999998,1.850787997,0.810000002,0.499357343,0.879999995,3636.524902
50,0.310000002,2.560027838,0.889999986,0.357731134,0.829999983,6137.57666
60,0.270000011,2.23311305,0.860000014,0.354321748,0.800000012,2865.280518
70,0.289999992,2.003933668,0.910000026,0.266690344,0.860000014,4573.881348
80,0.25999999,2.010430813,0.889999986,0.317698091,0.910000026,1375.658691
90,0.180000007,2.180598497,0.959999979,0.204234168,0.930000007,998.3192749
100,0.159999996,2.054434061,0.949999988,0.278348684,0.860000014,2089.147705
110,0.25999999,2.033705711,0.949999988,0.27226907,0.899999976,862.5116577
120,0.209999993,2.052183867,0.970000029,0.154735312,0.870000005,4182.018066
130,0.230000004,1.941300392,0.889999986,0.202596799,0.899999976,819.6152954
140,0.209999993,1.892457485,0.899999976,0.153048292,0.839999974,472.5655518
150,0.310000002,1.680511832,0.949999988,0.1625285,0.899999976,742.6721191
160,0.289999992,1.880272627,0.980000019,0.147740483,0.899999976,1831.834229
170,0.25,1.91400373,0.959999979,0.15807882,0.899999976,1220.344971
180,0.360000014,1.762532711,0.980000019,0.101497062,0.879999995,2666.318115
190,0.409999996,1.554344654,0.959999979,0.120708793,0.910000026,1953.200317
200,0.529999971,1.551879287,0.99000001,0.086011752,0.879999995,1196.756958
210,0.400000006,1.72391665,0.980000019,0.083301887,0.879999995,1616.304321
220,0.360000014,1.545957923,0.970000029,0.099427231,0.910000026,1342.901855
230,0.270000011,1.76207459,0.980000019,0.075859264,0.899999976,1790.02002
240,0.479999989,1.486517787,0.980000019,0.134463802,0.850000024,1025.604858
250,0.439999998,1.628286719,0.949999988,0.156994805,0.889999986,2457.676025
260,0.569999993,1.300393701,0.930000007,0.159297377,0.870000005,772.5209351
270,0.560000002,1.417376518,0.949999988,0.114458062,0.939999998,759.3768921
280,0.579999983,1.341185093,0.99000001,0.065821648,0.920000017,1106.019897
290,0.589999974,1.150824785,0.99000001,0.107538074,0.889999986,585.0319824
300,0.519999981,1.302909851,0.99000001,0.075820997,0.910000026,805.8616943
310,0.519999981,1.35230422,0.939999998,0.283520907,0.899999976,1518.108154
320,0.660000026,1.181912899,0.970000029,0.136440068,0.889999986,1418.13623
330,0.430000007,1.399960279,0.99000001,0.107159823,0.939999998,609.2293091
340,0.449999988,1.249676108,0.99000001,0.067763798,0.930000007,391.5213623
350,0.460000008,1.307348013,0.970000029,0.155638456,0.889999986,743.4562378
360,0.430000007,1.556216717,0.970000029,0.159860462,0.939999998,479.4626465
370,0.529999971,1.140491128,0.99000001,0.028832633,0.899999976,328.1463623
380,0.680000007,0.901832044,0.959999979,0.167266086,0.949999988,669.4309082
390,0.589999974,1.201783061,0.959999979,0.113729268,0.910000026,1334.234253
400,0.620000005,1.042814016,0.970000029,0.141034514,0.860000014,433.6657715
410,0.670000017,1.007152081,0.99000001,0.088200919,0.949999988,172.7500916
420,0.620000005,0.92451781,0.959999979,0.132474095,0.910000026,318.0446777
430,0.660000026,1.059592843,0.959999979,0.080090001,0.889999986,413.196106
440,0.639999986,1.177947879,0.970000029,0.121798821,0.920000017,86.49521637
450,0.50999999,1.10598588,0.99000001,0.089591399,0.980000019,102.0211029
460,0.660000026,1.098906517,0.980000019,0.22936444,0.920000017,596.9955444
470,0.610000014,1.083637834,0.970000029,0.089033253,0.930000007,146.2485809
480,0.689999998,1.033770084,0.980000019,0.102152117,0.899999976,465.7304688
490,0.649999976,1.037516475,0.980000019,0.075691365,0.899999976,735.1936035
500,0.660000026,1.030848742,0.980000019,0.058409099,0.899999976,199.4403076
510,0.660000026,1.054398298,0.980000019,0.087689705,0.939999998,364.3982849
520,0.620000005,1.032929778,0.959999979,0.132281065,0.870000005,1084.276733
530,0.660000026,1.001446009,0.980000019,0.113947004,0.879999995,561.1997681
540,0.600000024,1.002955675,0.980000019,0.079253741,0.939999998,151.3678131
550,0.689999998,1.032644033,0.980000019,0.091472276,0.959999979,216.0984344
560,0.610000014,1.146137357,0.980000019,0.049567893,0.959999979,355.4986572
570,0.600000024,1.246729732,1,0.050006241,0.939999998,1274.392212
580,0.600000024,0.956941962,0.970000029,0.162102446,0.959999979,333.8267822
590,0.670000017,1.061434627,1,0.0369795,0.939999998,383.8707886
600,0.620000005,1.010005713,0.980000019,0.024791077,0.899999976,306.4406128
610,0.649999976,0.96714592,0.99000001,0.054758698,0.920000017,233.1428833
620,0.620000005,0.965755105,1,0.056569979,0.910000026,194.3681488
630,0.649999976,1.105810165,0.980000019,0.061188132,0.910000026,461.2104187
640,0.699999988,1.01252985,0.99000001,0.04483065,0.930000007,361.0899353
650,0.680000007,0.971293807,0.959999979,0.079327248,0.939999998,552.638855
660,0.589999974,1.042621732,0.980000019,0.100184411,0.939999998,258.1581726
670,0.680000007,0.949658573,0.99000001,0.045987438,0.939999998,36.0745697
680,0.75,1.035946608,0.980000019,0.063383266,0.949999988,399.6934814
690,0.75,0.869810879,0.99000001,0.023491006,0.910000026,466.3001709
700,0.670000017,0.690427721,1,0.028363476,0.920000017,353.3902588
710,0.709999979,0.874986053,1,0.060695227,0.949999988,120.7007065
720,0.600000024,1.026789546,0.99000001,0.056342978,0.930000007,232.9115753
730,0.600000024,0.92113477,0.970000029,0.058103167,0.930000007,252.3666534
740,0.779999971,0.771784663,0.99000001,0.056874905,0.949999988,216.8638306
750,0.769999981,0.711195767,0.980000019,0.105454095,0.959999979,181.3294067
760,0.680000007,0.97128731,0.99000001,0.113658778,0.959999979,128.9973907
770,0.670000017,0.819902241,0.99000001,0.112028569,0.930000007,247.0017242
780,0.800000012,0.791474164,1,0.027408833,0.970000029,69.09405518
790,0.819999993,0.693448007,0.99000001,0.054031115,0.949999988,54.17028427
800,0.74000001,0.960677028,1,0.043614931,0.959999979,304.6505127
810,0.790000021,0.71138525,0.980000019,0.07074862,0.889999986,247.1827698
820,0.689999998,0.77845031,0.959999979,0.085058756,0.910000026,224.5627899
830,0.75999999,0.742157757,1,0.037406601,0.910000026,302.7169189
840,0.649999976,0.973707557,0.980000019,0.046542589,0.889999986,653.8952637
850,0.649999976,0.946781754,1,0.026123973,0.949999988,59.94022369
860,0.689999998,0.8662467,0.99000001,0.061767291,0.930000007,226.1379242
870,0.689999998,0.93941164,0.970000029,0.085499875,0.939999998,130.3356476
880,0.779999971,0.63364929,0.970000029,0.072796762,0.889999986,278.1107788
890,0.75,0.91392982,1,0.058032751,0.920000017,253.3635559
900,0.74000001,0.899962604,1,0.046973914,0.899999976,271.4928589
910,0.709999979,1.062981606,1,0.056473847,0.949999988,155.4803314
920,0.680000007,0.911076367,0.980000019,0.072671764,0.939999998,291.8880005
930,0.790000021,0.688704133,0.99000001,0.10440854,0.879999995,352.1744385
940,0.699999988,0.766378045,0.99000001,0.059008826,0.949999988,341.901062
950,0.74000001,0.729232192,0.99000001,0.052304763,0.939999998,267.8439331
